Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Sneakers in pelle e camoscio beige coco r25549w,r25549w,donna,sneakers,sneakers,coco,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio e pelle beige daino r25731w,r25731w,donna,sneakers,sneakers,daino,115.5,165.0,30.0,Melluso
Sneakers donna in pelle nero r25550w,r25550w,donna,sneakers,sneakers,nero,104.93,149.9,30.0,Melluso
Sneakers donna in pelle e camoscio topo r25552,r25552,donna,sneakers,sneakers,topo,115.5,165.0,30.0,Melluso
Sneakers donna in camoscio blu navy r25656w,r25656w,donna,sneakers,sneakers,navy,108.5,155.0,30.0,Melluso
Sneakers mocassino donna in camoscio arancio r20087,r20087,donna,sneakers,sneakers,arancio,149.9,149.9,0.0,Melluso
Sneakers donna in pelle nero k55439,k55439,donna,sneakers,sneakers,nero,69.93,99.9,30.0,Melluso
Sneakers donna in vernice e camoscio taope k55438,k55438,donna,sneakers,sneakers,taope,76.93,109.9,30.0,Melluso
Sneakers donna in vernice e camoscio nero k55438,k55438,donna,sneakers,sneakers,nero,76.93,109.9,30.0,Melluso
Sneakers donna in vernice e camoscio nero k55441,k55441,donna,sneakers,sneakers,nero,69.93,99.9,30.0,Melluso
Sneakers donna in vernice e camoscio beige k55441,k55441,donna,sneakers,sneakers,beige,69.93,99.9,30.0,Melluso
Sneakers mocassino donna in pelle latte r20088,r20088,donna,sneakers,sneakers,latte,159.9,159.9,0.0,Melluso
Sneakers in pelle e camoscio nero r25549w,r25549w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio sigaro k35314,k35314,donna,sneakers,sneakers,sigaro,90.93,129.9,30.0,Melluso
Sneakers donna in vernice nero k35314,k35314,donna,sneakers,sneakers,nero,90.93,129.9,30.0,Melluso
Sneakers donna in camoscio e pelle nero r25731w,r25731w,donna,sneakers,sneakers,nero,115.5,165.0,30.0,Melluso
Sneakers donna in vernice acero r25656w,r25656w,donna,sneakers,sneakers,acero,111.93,159.9,30.0,Melluso
Sneakers donna in pelle e camoscio blu navy r25655w,r25655w,donna,sneakers,sneakers,navy,111.93,159.9,30.0,Melluso
Sneakers donna in pelle e camoscio marrone r25655w,r25655w,donna,sneakers,sneakers,marrone,111.93,159.9,30.0,Melluso
Sneakers donna in pelle e camoscio topo r25655w,r25655w,donna,sneakers,sneakers,topo,111.93,159.9,30.0,Melluso
Sneakers donna in pelle e camoscio nero r25655w,r25655w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in camoscio marrone r25653w,r25653w,donna,sneakers,sneakers,marrone,108.5,155.0,30.0,Melluso
Sneakers donna in camoscio nero r25653w,r25653w,donna,sneakers,sneakers,nero,108.5,155.0,30.0,Melluso
Sneakers donna in vernice e pelle nero r25643w,r25643w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e camoscio bordo r25642w,r25642w,donna,sneakers,sneakers,bordo,111.93,159.9,30.0,Melluso
Sneakers donna in vernice e camoscio nero r25642w,r25642w,donna,sneakers,sneakers,nero,111.93,159.9,30.0,Melluso
