Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Mocassino D9S Bordeaux,D9S,donna,scarpe-basse,Mocassino,Bordeaux,89.9,89.9
Mocassino D10S Nabuck Beige Verde,D10S,donna,scarpe-basse,Mocassino,Verde,99.9,99.9
Mocassino con moschettone D10 Vernice Nero,con,donna,scarpe-basse,Mocassino,Nero,99.9,99.9
Mocassino D890B Verde,D890B,donna,scarpe-basse,Mocassino,Verde,62.9,89.9
Mocassino Penny A7 Vernice Nero,Penny,donna,scarpe-basse,Mocassino,Nero,79.9,79.9
Mocassino Penny A7 Nero,Penny,donna,scarpe-basse,Mocassino,Nero,79.9,79.9
Mocassino Penny A7 Bianco,Penny,donna,scarpe-basse,Mocassino,Bianco,79.9,79.9
Mocassino Penny A7 Ocra,Penny,donna,scarpe-basse,Mocassino,Ocra,79.9,79.9
Mocassino Penny A7 Rosa,Penny,donna,scarpe-basse,Mocassino,Rosa,79.9,79.9
Ballerina Mocassino D890 Suede Cuoio,Mocassino,donna,scarpe-basse,Ballerina,Cuoio,63.9,79.9
Mocassino Penny A7 Nabuck Cuoio,Penny,donna,scarpe-basse,Mocassino,Cuoio,79.9,79.9
Mocassino Penny A7 Bordeaux,Penny,donna,scarpe-basse,Mocassino,Bordeaux,79.9,79.9
Ballerina Mocassino D890 Nero,Mocassino,donna,scarpe-basse,Ballerina,Nero,63.9,79.9
Sneakers Mocassino FLYNN Camoscio Blu,Mocassino,uomo,sneakers,Sneakers,Blu,40.0,84.9
Sneakers Mocassino FLYNN Camoscio Tabacco,Mocassino,uomo,sneakers,Sneakers,Tabacco,40.0,84.9
Sneakers COLIN Nero Verde,COLIN,uomo,sneakers,Sneakers,Verde,84.9,84.9
Sneakers CONNOR Bianco Blu,CONNOR,uomo,sneakers,Sneakers,Blu,94.9,94.9
Sneakers BILL Verdone,BILL,uomo,sneakers,Sneakers,Verdone,99.9,99.9
Sneakers BILL Cuoio,BILL,uomo,sneakers,Sneakers,Cuoio,99.9,99.9
Sneakers BILL Nero con Suola Nera,BILL,uomo,sneakers,Sneakers,Nera,99.9,99.9
Sneakers BILL Blu,BILL,uomo,sneakers,Sneakers,Blu,99.9,99.9
Sneakers BILL Spazzolato Grigio,BILL,uomo,sneakers,Sneakers,Grigio,99.9,99.9
Sneakers BILL Nero,BILL,uomo,sneakers,Sneakers,Nero,99.9,99.9
Sneakers CONNOR Nabuck Blu,CONNOR,uomo,sneakers,Sneakers,Blu,94.9,94.9
Sneakers CONNOR Bianco Bordeaux Giallo,CONNOR,uomo,sneakers,Sneakers,Giallo,94.9,94.9
